1,진짜 존경스러워요..ㅠㅠ희원님은 어딜가든 성공할거에요! 그것만은 확실해요..!같은 나인데 너무 달ㄹ라서 신기했어요♥♥♥♥,진짜 존경스러워요희원님은 어딜가든 성공할거에요! 그것만은 확실해요같은 나인데 너무 달ㄹ라서 신기했어요,헐... 제가 존경받을만큼인지는 모르겠지만 그래도 감사합니다...!!!
2,진짜ㅠㅠㅠ 하루에 어떻게 저런 수많은 계획들을 다 지키시나요ㅠㅠㅠ?ㅠㅠ ( 결론 : 집중력 높이는 방법이 무엇인가요? ),진짜하루에 어떻게 저런 수많은 계획들을 다 지키시나요결론집중력 높이는 방법이 무엇인가요,문제풀땐 숫자감각? 인가 거기에나온 20분이었나 대충 20분 집중하고 좀쉬고 이런방법을 살짝 응용해서 25분 집중하고 5분쉬는 이런식으로? 몇주 했던게 집중력을 좀 높여준것같아요!(요즘은 안하고있지만...) 그리고 방에서 공부하고있으면 거실 tv소리나 전투기소리(주변에 공군이...) 때문에 집중을 더 해야 하다보니 아무리 시끄러운 상황에서도 공부가 가능해진? 그런거같아요ㅋㅋㅋ(반대로 악영향을 미칠수도있었지만요...)
3,항상 인스타에 신기한 공식들이 올라오던데 그런건 어디서 배우나요,항상 인스타에 신기한 공식들이 올라오던데 그런건 어디서 배우나요,"중, 고등학교 과학이 너무 일부만 보여주다보니 깊게들가기위해 대학물리를 봅니다. 일단 대학1학년 수학과학은 대학교재들을 통해 공부하고, 미분방정식 등 대학2학년 이상수준은 검색으로 대학생들이 가끔 블로그에 포스팅하는걸 찾아서 맛보기식으로 공부해요! (사실 미적분도 이런식으로 시작한 덕분에 미적1,2 수1,2보다 몇배는 쉽게 하고 있습니다!) "
4,둠칫두둠칫,둠칫두둠칫,...? galaxy양 삘인데
5,과학고에 혹여 떨어졌을 때 이때까지 물리 공부한게 아깝지 않을까요? 일반고에선 희원님이 알고있는 물리지식들을 많이 요구하진 않잖아요.,과학고에 혹여 떨어졌을 때 이때까지 물리 공부한게 아깝지 않을까요? 일반고에선 희원님이 알고있는 물리지식들을 많이 요구하진 않잖아요.,그래서 일단 과학고를 가기위해 죽어라 해야죠. 근데 제가 물리를 하는 이유가 그저 즐겁기 때문이라 제가 일반고를 목표로 했었다 하더라도 물리를 지금처럼 공부했을것 같네요!
6,수학선행어떻게하시나요 그리고 지금 수2하는데 대학교재이런거 봐도될까요 전 수1도기억이 잘안나는데 한번에 잘공부할수있는방법이 있을까요  대학교재좀 자세히 추천좀해주세용 어디에는어떤책이좋은지 책 이름과 사용법도요!,수학선행어떻게하시나요 그리고 지금 수2하는데 대학교재이런거 봐도될까요 전 수1도기억이 잘안나는데 한번에 잘공부할수있는방법이 있을까요  대학교재좀 자세히 추천좀해주세용 어디에는어떤책이좋은지 책 이름과 사용법도요!,"전 바이블+라이트쎈→쎈→다음학년+일품→블라+실력정석 이렇게 해요! 그러다보니 미적2하면서도 수1도 하고있죠... 이러면 기벡할때도 수1 안까먹어요ㅎ... 흠 대학교재 미적분 거의 필수일거에요!(정수론은 미적분 필요없고, 집합론은 안해서 모르겠지만요...)
솔직히 kmo정수론 공부할바엔 대학정수론 하는게 훨씬 재밌ㄴ(kmo는 너무 불친절...)
책추천... 전 참고로 원서를 사용하고, google에 (책이름)pdf 라고 치면 거의 모든걸 구할수 있어요"
7,"엇 설마 짤린건가... 대학수학 책추천 해드리죠.
일단 정수론은 Burton이 쓴게 좋데요(대학생들 왈.) 그래서 이거쓰고있죠. 처음볼때 좋아요! 그담은 Niven껄 보려고 하고있고요.
미적분학은 James Stewart꺼가 좋아요. 초반엔 미적1내용이 대부분이죠.
집합론은 많은분들이 초보에겐 Pinter꺼 추천하던데 못구한 ㅠㅠㅠㅠ","엇 설마 짤린건가대학수학 책추천 해드리죠.
일단 정수론은 Burton이 쓴게 좋데요(대학생들 왈그래서 이거쓰고있죠. 처음볼때 좋아요! 그담은 Niven껄 보려고 하고있고요.
미적분학은 James Stewart꺼가 좋아요. 초반엔 미적1내용이 대부분이죠.
집합론은 많은분들이 초보에겐 Pinter꺼 추천하던데 못구한",추가 답변.
8,흥...그게 누구야,흥그게 누구야,흐음?
9,희원 ! 요즘 나한테 톡안하고 ~~~~ 실망이야,희원요즘 나한테 톡안하고실망이야,에... 죄송합닏...
10,희 쓸때 hee로 쓰나여 hui로 쓰나여,희 쓸때 hee로 쓰나여 hui로 쓰나여,초딩때 왜그랬는진 모르겠지만 hui써서 지금도hui쓰고있어요!
11,물리 공부는 어떻게 하시나요???,물리 공부는 어떻게 하시나요,"전 되도록이면 공식을 스스로 증명하고, 왜 이렇게 나와야 하는지를 생각하면서 자연스럽게 제 머리에 들어오도록 만들어요! 처음 역학을 했을땐 무작정하다가 고생좀 했지만요...ㅎ 암기를 버리기 시작하면 많은 공식들이 거부감없이 머리에 들어오더군요!"
12,안녕! 누구게요 xD,안녕! 누구게요 xD,글쎄 누굴까요!
13,"희워님은 KSA 내셨으면 100% 합격하셨을 꺼라고 생각합니다. 많이 안타깝네요. 같은 대구일과고 준비생인데, 희원님 실력에 약간 두렵기도 하지만(?) 함께 힘냅시다.","희워님은 KSA 내셨으면 100% 합격하셨을 꺼라고 생각합니다. 많이 안타깝네요. 같은 대구일과고 준비생인데, 희원님 실력에 약간 두렵기도 하지만함께 힘냅시다.",흠 감사합니다!! 누구신지 짐작은 안가지만... 같이 합격하면 좋겠네요! 넵 파이팅해요~
14,언제 물리에 입덕했나요??????(우왕 존댓말을 사용해보았다★),언제 물리에 입덕했나요우왕 존댓말을 사용해보았다★),"흠... 중2때 친구들이랑 천체쪽으로 얘기하며 놓다가 물리라는 과목을 처음 알게되고, 수학이랑 너무 비슷한점이 많아 시작한...?(ㅋㅋㅋㅋㅋㅋㅋ 축하합니다. 아 그리고 입덕이 뭔지 몰라서 찾아본...)"
15,대학교재 질문했던 사람인데용 지금수2하면 어떤책을공부할수있나용,대학교재 질문했던 사람인데용 지금수2하면 어떤책을공부할수있나용,"만약 수열을 공부하셨다면 정수론 정도는 가능할 것 같네요. 아직 그까지 안하셨다면 대학수학은 조금 무리일것 같고요...음 그리고 혹시 안보셨을 수도 있어 말씀드리자면(보셨을 수도 있지만?), 각 과목별 추천들은 칸이 부족해서 대학교재 질문 답변 바로 다음 질문에 적어뒀으니 참고하시고요!"
16,짝짜쿵짝짜쿵,짝짜쿵짝짜쿵,yada?!!
17,하잉 매일 출석체크즁입니당 흐흫,하잉 매일 출석체크즁입니당 흐흫,ㅋㅋㅋㅋㅋㅋㅋ 잘했어요!
18,오.. 진짜 멋있으세요 평범한 고등학생보다 훠얼씬 열심히 하시는 것 같아요! 진짜 대단해요.. 하시고 싶은 거 다 이루실 거예요 화이팅!!,오진짜 멋있으세요 평범한 고등학생보다 훠얼씬 열심히 하시는 것 같아요! 진짜 대단해요하시고 싶은 거 다 이루실 거예요 화이팅!!,헐 감사합니다...!
19,개안켔지머.,개안켔지머.,그러캤지머.
20,대구일과고는 서류접수 언제까지야???,대구일과고는 서류접수 언제까지야,8월 24일까지야!
21,질문 넘 많이햇낭(앗 질문이 아니구나) 더위먹엇나바ㅏ어쩌지오,질문 넘 많이햇낭(앗 질문이 아니구나) 더위먹엇나바ㅏ어쩌지오,흠?
22,우아 새 질문에 네개나 있구먼!!(우아 찔린당),우아 새 질문에 네개나 있구먼우아 찔린당),ㅋㅋㅋㅋㅋㅋㅋ...
23,수학 선행이 아무것도 안된 상태인데 어떤 거 부터 시작해야 좋을까요? 혹시라도 조언얻을 수 있을까해서 여쭤봐요!,수학 선행이 아무것도 안된 상태인데 어떤 거 부터 시작해야 좋을까요? 혹시라도 조언얻을 수 있을까해서 여쭤봐요!,흠 고등선행말씀이신가요..? 맞다면 전 시작은 정석이나 바이블 중 한개 랑 라이트쎈 요렇게 총 두개로 했어요!
24,ㅋㅋㅋㅋㅋㅋ재밌당 (누구게요),재밌당 (누구게요),밀레거나 야다거나 라빈이거나 음... 아 몰라
25,요즘 바쁜가보네ㅜㅜㅜ,요즘 바쁜가보네,음 오늘은 안바쁘다...!
26,"혹시 슬럼프가 왔었나요? 
왔다면 그땐 어떻게 하는지 궁금해요..!!
슬럼프땜에 힘들어요ㅠㅠ",혹시 슬럼프가 왔었나요왔다면 그땐 어떻게 하는지 궁금해요슬럼프땜에 힘들어요ㅠㅠ,네! 당연히 왔었죠... 근데 전 사실 슬럼프를 잘 극복하는 편이 아니라... 저는 슬럼프오면 일년 혹은 한달계획세우면서 다시 자극받은거같아요!
27,"치,친하게 지내면 아,안되나ㅇㅕ..?//","치,친하게 지내면 아,안되나",친하게...! 네! 좋죠
28,나 고등꺼ㅓ선행이 거의 안됬는데 만약에 과고가면 적응하기 힘들까...?!ㅜㅜ,나 고등꺼ㅓ선행이 거의 안됬는데 만약에 과고가면 적응하기 힘들까,선행 안하고도 하는사람은 다 하지..? 근데 선행했을때 경쟁력이 더 생기는건 맞으닌까 지금부터라도 하면 될꺼야!
29,나도 과고 준비생이다,나도 과고 준비생이다,ㅇ...?
30,희원이의 장래희망은 무엇인가요?!(오 에스크는 첨ㅁ이아니라 두번째당),희원이의 장래희망은 무엇인가요오 에스크는 첨ㅁ이아니라 두번째당),엇 전 입자물리학자 혹은 천체물리학자!
31,멋지세요..,멋지세요..,헛... 감사합니다!!
32,인강들으시나요??,인강들으시나요??,ebs 물화생지 수특 빼곤 듣는거 없습니다!
33,나도 공부잘하고 싶어....,나도 공부잘하고 싶어,엇... 음 이런저런 공부법 찾아보면서 자신과 맞는 방법들을 찾아가며 실천해보는게...?
34,도와쥬ㅜㅜㅜㅜㅜㅜㅜ,도와쥬,ㅇ...?
35,"솔직히 제 나이에서 가장 존경하는분인데 ㅠㅠ 인스타지켜보고있습니다. 수학처음에 고등과정을 하실때, 어떻게하셨는지궁금해요! 한번한번확실히 짚으셨나요 아니면 몇번 돌려서 보시면서 공부하셨나요?","솔직히 제 나이에서 가장 존경하는분인데인스타지켜보고있습니다. 수학처음에 고등과정을 하실때, 어떻게하셨는지궁금해요! 한번한번확실히 짚으셨나요 아니면 몇번 돌려서 보시면서 공부하셨나요?",헐 감사합니다...! 전 첨에 고등수학 들왔을때 엄청 헤맸습니다. 문제집을 제대로 못정해서 풀다 포기했다 를 반복하면서 기본서만 5권정도 풀었어요.그러다가 기본기 완성되고 나서 제게 맞는 기본서를 발견했죠...(그래서 수2부턴 계속 그걸로...!) 수1에서 커리큘럼을 완성시키면 수2부터는 좀 쉬워질겁니다!
36,두둥- 방학때 영어는 어떤거 공부해???,두둥- 방학때 영어는 어떤거 공부해,"하루에 단어 15개, 문법 1장, 독해 2챕터 이정도...? 요즘부턴 문장도 외우는중!"
37,대구 안덥니,대구 안덥니,에어컨 덕에 실내만 시원해!ㅋㅋㅋㅋㅋㅋ
38,수학 선행 언제부터하셧나요?,수학 선행 언제부터하셧나요?,"중1 1학기땐 한학기예습만, 중1 끝날때 쯤 3학년 1학기 끝냈어요!"
